Education,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age-Binning,Antiguedad-Binning,Estado
1,2,1,0,31,1,1,1,1,1,1,1,1,0,4,3,0,0,0,0,0,0,0,1,1,0
1,3,0,1,63,2,1,1,1,1,1,3,8,2,6,7,0,0,0,0,0,0,0,2,1,1
1,4,0,0,12,3,1,3,2,1,2,1,3,6,11,1,0,1,1,0,0,0,1,1,2,0
1,4,1,1,18,2,1,1,1,1,1,4,4,2,12,3,0,0,0,0,0,0,0,2,3,1
1,3,0,1,26,2,1,1,1,1,4,4,8,2,10,7,0,0,0,0,0,0,0,3,3,0
1,4,0,1,8,2,1,1,1,1,1,1,7,3,8,5,0,0,0,0,0,0,0,3,2,0
1,4,0,0,29,2,2,2,3,4,1,1,7,4,4,4,0,0,0,0,0,0,0,3,1,1
1,2,1,0,75,1,1,1,1,1,1,1,1,1,2,7,0,0,0,0,0,0,1,2,2,1
1,2,1,1,0,1,1,1,1,1,1,1,1,0,2,7,0,0,0,0,0,0,0,2,1,1
0,5,0,1,19,3,1,2,4,1,1,1,11,10,10,5,1,0,0,1,0,0,1,1,1,0
1,4,0,1,4,1,2,1,1,3,3,1,5,2,10,4,0,0,0,0,0,0,0,3,2,1
1,4,1,2,90,3,2,3,2,1,2,7,2,5,5,5,0,0,0,0,0,0,0,2,2,1
1,4,0,0,1,2,1,3,4,2,1,3,4,8,6,3,0,0,0,0,0,0,0,3,3,1
1,4,0,1,29,1,3,2,2,1,2,4,10,3,13,7,0,0,0,0,0,0,0,2,3,1
1,3,1,1,88,2,1,1,1,1,1,5,9,2,8,7,0,1,0,0,0,0,0,2,2,1
1,2,0,0,58,1,1,1,1,1,1,1,2,1,4,2,0,0,0,0,0,0,0,3,1,1
1,2,1,0,68,1,1,1,1,1,1,1,1,0,2,6,0,0,0,0,0,0,0,2,3,0
1,4,0,0,34,3,3,5,2,1,1,1,7,6,5,5,0,0,0,0,0,0,1,2,3,1
1,4,0,0,40,4,3,4,3,3,1,0,5,8,9,4,1,0,0,0,0,0,1,2,3,0
0,2,0,0,12,1,1,1,1,1,1,1,0,0,3,3,0,0,0,0,0,1,0,2,2,1
1,3,0,0,9,2,1,1,1,1,1,2,10,1,8,8,1,0,0,0,0,0,1,2,3,1
1,2,1,0,87,1,1,1,1,1,1,4,3,1,4,8,0,0,0,0,0,0,0,1,3,0
1,2,1,0,5,1,1,1,1,1,1,1,1,0,2,7,0,0,0,0,0,0,0,2,2,1
0,2,1,0,87,1,1,1,1,1,1,3,3,0,3,7,0,0,0,0,0,0,0,2,2,1
1,2,0,0,56,1,1,1,1,1,2,1,2,5,3,3,0,0,0,0,0,0,0,2,2,1
1,4,0,0,18,1,1,3,1,2,2,1,3,10,13,1,0,0,0,0,0,0,0,1,1,0
1,2,1,1,95,1,1,1,1,1,1,2,1,0,4,7,0,0,0,0,0,0,0,2,2,1
1,2,1,1,48,1,1,1,1,1,1,5,3,1,4,7,0,1,0,0,0,0,0,2,2,1
1,3,0,1,3,1,1,1,1,1,1,4,6,1,6,7,0,1,0,1,0,0,1,3,1,0
1,4,0,0,70,2,2,3,3,4,3,1,5,6,7,2,0,0,1,0,0,0,0,2,1,1
1,3,0,1,79,1,1,1,1,1,1,1,2,2,5,2,0,0,0,0,0,0,0,2,1,1
1,2,1,0,69,1,1,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,2,1,0
1,2,1,0,84,1,1,1,1,1,1,3,3,1,3,5,0,0,0,0,0,0,0,2,1,1
1,2,1,0,30,1,1,1,1,1,1,1,2,0,3,6,0,0,0,0,0,0,0,1,1,1
1,3,0,1,72,2,1,1,1,1,2,5,7,4,6,6,0,1,0,0,0,0,0,2,3,0
1,3,1,1,37,1,1,1,1,1,1,2,2,0,3,7,0,0,0,0,0,0,0,2,2,0
0,4,0,0,44,1,1,3,2,1,5,1,5,7,12,2,0,0,0,1,0,0,0,3,1,1
1,3,0,0,32,1,2,1,2,2,1,2,5,2,7,5,0,0,0,0,0,0,0,1,2,1
0,3,0,1,0,1,1,1,1,1,1,2,2,0,3,8,0,0,0,0,0,0,0,2,2,0
1,2,0,1,43,1,1,1,1,1,1,2,2,0,3,6,0,0,0,0,0,0,0,2,1,0
1,5,0,1,59,2,5,1,4,4,3,2,9,5,11,5,0,0,0,0,0,0,0,1,2,1
1,4,0,0,68,2,3,2,2,2,2,1,6,3,6,4,0,0,0,0,0,0,0,3,2,1
1,5,0,0,35,1,2,4,1,1,1,1,3,11,5,1,0,0,0,0,0,0,1,2,1,1
0,2,1,0,94,1,1,1,1,1,1,1,1,0,3,5,0,0,0,0,0,0,0,1,1,1
1,3,1,1,15,1,1,1,1,1,1,4,4,1,4,7,0,0,0,0,0,0,0,2,2,1
1,3,0,2,56,1,3,2,2,3,2,4,6,4,12,6,0,0,0,0,0,0,0,2,3,1
1,2,1,0,17,1,1,1,1,1,1,2,3,1,3,7,0,0,0,0,0,0,0,1,3,0
1,5,0,0,18,2,5,1,1,1,1,1,5,4,4,2,0,0,0,0,0,0,0,2,3,1
1,4,0,1,46,2,3,2,1,1,2,1,6,6,11,3,0,0,0,0,0,0,0,1,2,1
1,4,0,0,40,5,1,2,1,2,2,1,7,4,5,9,0,1,0,0,0,0,1,1,3,0
1,3,0,1,27,2,1,1,1,1,2,3,8,1,8,6,0,1,0,0,0,0,0,2,1,1
1,5,0,0,95,2,2,1,1,1,1,1,6,7,11,3,0,1,1,0,0,0,1,1,3,0
1,3,1,0,19,2,1,1,1,1,2,5,6,4,6,7,0,0,0,0,0,0,0,1,3,1
1,3,1,1,27,1,1,1,1,1,1,2,2,1,3,6,0,0,0,0,0,0,0,2,2,0
1,5,0,0,25,2,3,5,3,3,1,0,4,6,5,1,0,0,1,1,0,0,0,2,1,1
0,2,1,0,74,1,3,1,3,3,3,5,9,1,5,9,0,0,0,0,0,0,0,1,3,1
0,2,1,1,85,1,1,1,1,1,1,2,1,1,3,5,0,0,0,0,0,0,0,2,2,1
1,1,1,0,37,1,1,1,1,1,1,2,2,0,3,6,0,0,0,0,0,0,0,2,1,1
1,3,0,1,65,2,2,1,1,2,1,4,6,2,10,4,0,0,0,0,0,0,0,3,2,1
1,2,1,0,13,1,1,1,1,1,1,3,2,1,3,5,0,0,0,0,0,0,1,2,1,0
1,1,2,0,63,1,1,1,1,1,1,2,1,0,3,7,0,0,0,0,0,0,0,1,2,1
1,2,1,0,83,1,1,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,2,2,0
1,5,0,0,69,3,1,1,1,2,4,0,6,8,13,2,0,1,1,1,0,0,1,1,3,0
0,4,0,0,87,1,1,1,1,1,4,2,3,4,7,1,0,0,0,0,0,0,0,2,3,1
1,4,0,0,37,2,4,5,4,1,5,1,3,6,6,1,0,0,0,0,0,0,1,1,2,0
1,3,1,1,51,1,1,1,1,1,1,2,2,0,4,6,0,0,0,0,0,0,0,3,1,1
1,4,1,1,72,2,1,1,1,1,1,4,6,3,10,4,0,0,0,0,0,0,0,3,1,1
1,3,0,1,10,1,2,1,2,3,2,5,5,4,5,5,0,0,0,0,0,0,0,3,2,1
1,3,1,1,42,2,1,1,1,1,1,5,11,1,6,8,0,0,0,0,0,0,0,3,3,0
1,4,0,0,10,1,3,1,1,2,3,1,7,2,9,4,0,0,0,0,0,0,0,2,1,1
1,2,1,1,51,1,1,1,1,1,1,5,5,1,5,8,0,0,0,0,0,0,0,2,2,1
1,3,0,0,21,3,1,3,1,2,1,1,4,5,13,3,0,1,0,0,0,0,0,2,3,1
0,1,1,0,31,1,1,1,1,1,1,2,1,0,3,8,0,0,0,0,0,0,0,2,3,0
1,2,2,1,61,1,1,1,1,1,1,3,2,2,2,8,0,0,0,0,0,0,0,2,2,1
1,2,1,1,37,1,1,1,1,1,1,2,1,1,2,5,1,0,0,0,0,0,1,2,1,0
1,2,1,1,74,1,1,1,1,1,1,2,2,0,3,7,0,0,0,0,0,0,0,2,2,0
1,5,0,0,46,4,2,5,2,2,1,1,5,4,12,2,0,0,0,0,0,0,0,1,3,0
1,4,0,1,4,3,1,2,1,1,1,2,3,5,7,7,0,0,0,0,0,0,1,2,1,1
1,5,0,0,73,2,1,4,1,2,3,1,5,7,10,2,0,0,0,0,0,0,0,2,2,1
1,4,0,1,47,3,1,1,1,1,1,3,8,5,9,6,0,0,0,0,0,0,0,2,2,0
1,2,1,0,13,1,1,1,2,1,3,3,4,2,3,7,0,0,0,0,0,0,0,1,3,1
1,3,0,2,36,3,1,1,1,2,1,3,3,3,6,8,0,0,0,0,0,0,0,2,3,1
1,2,1,0,47,1,1,1,1,1,1,1,2,0,3,6,0,0,0,0,0,0,1,2,3,1
1,2,1,0,49,1,1,1,1,1,1,1,1,0,2,8,0,0,0,0,0,1,0,1,2,1
0,2,2,1,94,1,1,1,1,1,1,7,4,1,4,8,0,0,0,0,0,0,0,2,3,1
1,3,0,0,65,1,1,1,1,1,1,1,2,1,4,3,0,0,0,0,0,0,0,2,1,1
1,3,0,2,59,1,1,1,1,1,1,1,4,4,7,3,0,0,0,0,0,0,0,3,1,1
1,4,0,1,96,2,1,1,1,1,1,4,8,1,6,6,0,1,0,0,0,0,0,2,1,1
0,3,0,1,28,1,1,1,1,1,2,4,7,1,5,7,0,0,0,0,0,0,0,2,3,1
1,2,1,0,12,1,1,1,1,1,1,4,3,0,4,6,0,0,0,0,0,0,0,1,1,0
1,3,0,1,57,3,1,1,1,1,2,2,8,5,11,5,0,0,0,0,0,0,0,3,3,1
1,4,0,0,10,4,1,2,1,1,1,1,10,4,6,4,0,1,1,0,0,0,1,3,3,1
1,3,0,1,4,1,1,1,1,1,1,3,6,1,5,7,0,0,0,0,0,0,0,3,2,0
1,3,1,2,49,1,1,1,1,1,1,1,0,0,3,4,0,0,0,0,0,0,0,1,2,0
1,3,0,1,3,1,1,1,1,1,1,1,1,1,6,2,0,0,0,0,0,0,0,2,2,1
1,4,0,0,64,2,1,2,3,3,2,1,3,4,10,1,0,0,0,0,0,0,0,3,2,0
1,2,2,1,0,1,1,1,1,1,1,1,1,0,2,7,0,0,0,0,0,0,0,3,2,0
1,4,0,0,20,5,1,2,1,1,1,2,10,6,9,6,0,0,0,0,0,0,0,3,3,1
1,2,1,0,91,1,1,1,1,1,1,4,3,0,4,8,0,0,0,0,0,0,0,1,1,1
1,4,0,0,9,4,1,2,1,1,1,1,5,4,10,2,0,0,0,0,0,0,0,2,2,0
1,3,2,1,83,1,1,1,1,1,1,3,2,0,4,6,0,0,0,0,0,0,0,2,1,1
1,3,0,0,27,1,1,1,3,1,1,1,6,7,4,3,1,0,0,0,0,0,0,3,1,0
1,3,0,0,63,1,1,1,1,1,1,1,3,2,6,4,0,1,0,0,0,0,0,2,2,0
1,4,0,0,46,1,5,2,4,2,3,1,3,4,7,1,0,0,0,0,0,0,0,1,2,0
1,2,1,1,84,1,1,1,1,1,1,3,2,1,3,5,0,0,0,0,0,0,0,3,1,1
1,2,1,1,58,1,1,1,1,1,1,2,1,0,3,7,0,0,0,0,0,0,0,2,1,1
1,2,1,0,78,1,1,1,1,1,1,2,2,0,3,8,0,0,0,0,0,0,0,1,2,1
1,3,2,0,4,1,1,1,1,1,1,1,3,1,3,6,0,0,0,0,0,0,0,2,1,1
1,3,1,1,17,1,1,1,1,1,1,2,2,1,3,5,0,0,0,0,0,0,0,2,1,1
1,3,0,1,77,1,1,1,1,1,1,1,2,2,2,4,1,0,0,0,0,0,0,2,1,0
1,4,0,1,56,4,2,3,2,2,1,1,11,8,8,5,0,0,0,0,0,0,0,2,3,1
1,4,0,0,79,3,2,1,2,3,3,1,9,10,5,4,0,1,0,1,0,0,1,3,3,1
1,2,1,1,90,1,1,1,1,1,1,2,2,0,3,7,0,0,0,0,0,0,0,2,1,1
1,2,2,1,96,1,1,1,1,1,1,1,0,0,3,2,0,0,0,0,0,0,0,2,1,1
0,4,0,0,44,1,1,3,2,1,5,1,5,7,12,2,0,0,0,1,0,0,0,3,1,1
1,3,0,1,81,1,1,1,1,1,1,1,4,1,4,5,0,0,0,0,0,0,0,2,1,1
0,1,1,0,77,1,1,1,1,1,1,3,2,1,3,6,0,0,0,0,0,0,0,1,1,1
1,4,0,0,21,3,1,1,1,1,3,1,6,4,13,2,0,0,0,0,0,0,0,3,2,1
1,2,1,0,16,1,1,1,1,1,1,1,1,1,3,6,0,0,0,0,0,0,0,1,1,1
0,2,0,0,80,1,1,1,1,1,1,1,2,0,3,6,0,0,0,0,0,0,0,2,1,1
1,2,1,0,45,1,1,1,1,1,1,1,1,1,2,9,0,0,0,0,0,0,0,1,3,1
1,2,0,1,63,1,1,1,1,1,1,2,1,0,4,5,0,0,0,0,0,0,0,2,1,0
1,3,0,1,34,2,1,1,1,1,3,2,7,1,8,5,0,0,0,0,0,0,0,2,2,1
1,4,0,0,14,3,1,3,3,2,1,1,4,10,9,2,0,0,0,0,0,0,0,2,3,1
1,3,1,1,13,1,1,1,1,1,1,2,2,0,3,7,0,0,0,0,0,0,0,2,3,1
0,2,1,0,52,1,1,1,1,1,1,1,1,1,2,6,1,0,0,0,0,0,0,1,3,1
1,4,0,0,98,2,1,3,3,3,2,1,8,7,12,3,0,0,0,0,0,0,0,1,2,1
1,2,1,0,93,1,1,1,1,1,1,2,3,0,3,8,0,0,0,0,0,0,0,1,2,1
1,3,1,1,38,1,1,1,1,1,1,4,5,1,6,6,0,0,0,0,0,0,0,2,3,1
1,2,1,1,24,1,1,1,1,1,1,2,1,1,2,8,0,0,0,0,0,0,0,2,1,1
1,4,0,0,80,3,1,1,1,1,1,1,7,3,12,3,0,0,0,0,0,0,0,1,1,1
1,4,0,0,82,2,1,5,1,5,1,1,4,6,6,2,0,0,1,0,0,0,0,3,2,1
1,5,0,0,20,2,5,3,1,1,4,1,5,6,5,2,0,0,0,0,0,0,0,3,3,1
1,3,1,1,81,1,1,1,1,1,2,6,5,1,3,8,1,0,0,0,0,0,1,2,1,0
1,4,0,1,50,2,1,1,1,1,1,3,8,1,7,5,0,1,0,0,0,0,0,3,1,0
1,4,0,0,60,1,4,3,5,1,2,1,4,4,9,1,0,0,0,0,0,0,0,2,1,0
1,3,0,1,63,2,2,2,1,3,2,3,11,6,9,6,0,0,0,0,0,0,0,1,2,0
1,5,0,0,54,3,1,1,2,5,2,0,7,9,10,4,0,1,1,1,0,0,1,2,3,1
1,2,1,1,72,1,1,1,1,1,1,2,1,0,3,7,0,0,0,0,0,0,0,2,2,0
1,1,0,0,5,1,1,1,1,1,1,1,0,1,2,6,1,0,0,0,0,0,1,1,3,0
1,2,1,0,88,1,1,1,1,1,1,1,1,0,3,9,1,0,0,0,0,0,0,1,1,1
1,3,1,1,50,1,1,1,1,1,1,6,4,2,5,6,0,0,0,0,0,0,0,2,2,0
1,3,0,1,99,1,1,1,1,1,1,1,2,0,3,6,0,0,0,0,0,0,0,2,1,1
1,4,0,1,17,4,2,2,1,1,4,5,11,4,9,8,1,0,0,0,0,0,1,3,3,0
1,3,0,1,11,1,1,1,2,1,1,5,3,1,6,4,0,0,0,0,0,0,0,3,2,1
1,4,0,0,18,3,1,2,1,3,1,1,4,6,9,1,0,0,0,0,0,0,0,3,1,1
1,3,1,1,70,1,1,1,1,1,1,8,5,1,5,8,0,0,0,0,0,0,0,2,3,1
1,3,1,1,21,2,1,1,1,1,1,10,7,1,8,7,0,0,0,0,0,0,0,2,3,1
1,4,0,0,66,1,1,3,5,3,2,1,3,4,9,1,0,0,0,0,0,0,0,1,2,1
1,2,1,0,79,1,1,1,1,1,2,6,8,1,5,8,0,0,0,0,0,0,0,2,1,1
0,3,2,1,2,1,1,1,1,1,1,1,1,0,2,8,0,0,0,0,0,0,0,1,1,0
1,4,0,0,81,4,1,3,1,2,1,1,8,10,6,3,0,1,1,0,0,0,0,3,1,1
1,3,0,1,24,1,1,1,1,1,2,2,4,1,5,7,0,0,0,0,0,0,0,3,2,0
1,4,1,0,48,3,1,1,1,1,1,2,11,4,11,6,0,0,0,0,0,0,0,1,3,1
0,3,1,0,93,1,1,1,1,1,1,1,1,1,4,3,0,0,0,0,0,0,0,1,1,1
1,4,0,0,56,2,1,3,2,1,1,1,3,5,7,1,0,0,0,0,0,0,0,2,1,1
1,4,0,2,3,2,1,1,1,1,1,2,6,3,11,3,0,0,0,0,0,0,0,2,1,1
1,2,1,0,44,1,1,1,1,1,1,4,4,1,4,8,0,0,0,0,0,0,0,1,3,1
1,3,0,1,38,4,1,2,1,1,2,5,9,6,12,6,0,0,0,0,0,0,0,2,3,0
1,2,1,0,46,1,1,1,1,1,1,4,3,1,4,8,0,0,0,0,0,0,0,1,2,1
1,3,0,1,84,1,1,1,1,1,4,2,8,2,4,8,0,0,0,0,0,0,0,2,3,1
1,3,0,1,27,3,1,2,1,1,2,3,2,2,11,8,0,0,0,0,0,0,0,3,3,0
1,4,0,0,72,3,3,4,2,2,1,1,3,5,8,2,0,0,0,0,0,0,0,2,3,1
1,2,1,0,66,1,1,1,1,1,1,1,1,0,2,8,0,0,0,0,0,0,0,1,1,1
1,2,1,1,30,1,1,1,1,1,1,9,5,1,8,7,0,0,0,0,0,0,1,2,2,0
0,4,0,1,2,4,2,1,4,4,1,1,6,3,4,7,0,0,1,0,0,0,0,2,3,0
1,2,1,0,65,1,1,1,1,1,1,1,1,0,2,8,0,0,0,0,0,0,0,2,2,1
1,1,0,0,37,1,1,1,1,1,1,1,1,0,3,3,0,0,0,0,0,0,0,3,1,0
1,3,0,1,89,2,1,3,1,1,1,3,7,8,11,5,0,0,0,0,0,0,0,2,2,1
0,1,1,0,49,1,1,1,1,1,1,2,2,0,4,6,0,0,0,0,0,0,0,2,1,1
1,2,1,0,46,1,1,1,1,1,1,1,1,0,3,7,0,0,0,0,0,0,0,1,1,1
1,4,0,1,32,2,1,1,1,1,1,1,5,2,11,3,0,0,0,0,0,0,0,3,2,0
1,1,1,0,54,1,1,1,1,1,1,4,3,1,3,7,0,0,0,0,0,0,0,2,1,0
1,4,0,0,98,4,2,4,4,5,1,1,6,5,10,3,0,1,0,0,0,0,0,2,2,0
1,4,0,1,97,2,3,2,2,4,1,2,6,4,4,3,0,0,0,0,0,0,0,3,3,1
1,2,1,0,75,1,1,1,1,1,1,1,2,0,2,9,0,0,0,0,0,0,0,2,2,0
1,4,0,0,8,2,4,3,5,1,4,1,3,9,9,2,0,0,0,1,0,0,1,1,1,1
1,3,0,1,37,3,1,1,1,1,3,7,11,5,8,7,0,0,0,0,0,0,0,3,3,1
1,2,1,1,31,1,1,1,1,1,1,2,1,0,3,6,0,0,0,0,0,0,0,2,1,1
1,4,1,0,40,5,1,2,3,1,2,2,5,3,6,6,0,1,1,1,0,0,1,2,2,1
1,4,0,1,74,4,2,1,3,1,2,2,9,4,6,5,0,0,0,0,0,0,0,3,3,1
1,4,0,0,90,3,4,4,3,1,4,1,4,10,5,3,0,0,0,0,0,0,0,1,3,1
1,4,0,1,57,4,1,1,5,2,2,4,9,6,6,6,0,0,0,0,0,0,0,2,3,1
1,2,1,0,59,1,1,1,1,1,1,2,2,0,3,8,0,0,0,0,0,0,0,2,2,0
1,2,1,0,52,1,1,1,1,1,1,2,1,0,3,6,0,0,0,0,0,0,0,1,2,0
1,5,0,0,5,1,4,3,1,5,3,1,6,9,13,2,0,1,1,1,1,0,1,2,2,0
0,2,0,0,92,1,2,1,1,1,1,2,3,1,5,6,0,0,0,0,0,0,0,3,3,1
1,4,1,1,77,3,1,2,1,2,1,5,4,6,11,8,0,0,0,0,0,0,0,2,3,1
1,2,1,0,35,1,1,1,1,1,1,2,1,0,3,6,0,0,0,0,0,0,0,2,3,0
1,3,0,1,48,4,1,1,1,1,1,3,8,3,5,6,0,1,0,0,0,0,0,2,3,1
1,3,0,1,97,1,1,1,1,1,1,4,3,2,7,3,0,0,0,0,0,0,0,2,3,0
1,1,1,1,95,1,1,1,1,1,1,4,2,0,4,5,0,0,0,0,0,0,0,2,2,0
1,2,2,1,24,1,1,1,1,1,1,1,1,0,2,8,0,0,0,0,0,0,0,3,1,0
1,1,1,0,60,1,1,1,1,1,1,2,1,1,2,7,1,0,0,0,0,0,1,1,3,0
1,4,0,2,46,2,2,2,1,1,1,3,10,2,10,5,0,0,0,0,0,0,0,2,2,0
1,3,1,0,85,1,1,1,1,1,1,4,4,1,6,5,0,0,0,0,0,0,0,2,1,1
1,2,1,0,31,1,1,1,1,1,1,1,1,0,2,9,0,0,0,0,0,0,0,1,3,1
1,3,1,1,9,1,1,1,1,1,1,6,5,2,4,8,0,0,0,0,0,0,1,3,3,1
1,2,1,1,30,1,1,1,1,1,1,4,3,1,3,7,0,0,0,0,0,0,0,2,3,1
1,4,0,0,47,2,3,3,4,3,5,1,3,7,8,1,1,0,0,0,0,0,0,2,1,1
1,2,1,1,70,1,1,1,1,1,2,4,3,2,2,7,1,0,0,0,0,0,1,2,3,1
1,4,0,0,13,1,2,2,4,4,3,1,3,3,6,1,0,0,0,0,0,0,0,2,2,1
1,1,1,0,11,1,1,1,1,1,1,2,2,2,2,6,0,0,0,0,0,0,0,2,2,1
1,4,0,0,31,3,2,3,2,2,3,2,3,4,5,7,0,0,0,0,0,0,1,3,3,0
1,2,1,0,15,1,1,1,1,1,1,3,3,0,4,5,0,0,0,0,0,1,0,1,1,0
1,3,0,1,2,1,1,1,1,1,1,2,4,2,4,5,0,0,0,0,0,0,0,2,1,1
1,2,1,1,55,1,1,1,1,1,1,4,2,0,4,6,0,0,0,0,0,0,0,2,1,1
1,2,1,1,38,1,1,1,1,1,1,3,2,0,4,7,0,0,0,0,0,0,0,2,3,0
1,4,0,1,86,3,1,1,1,1,1,2,6,3,12,4,0,0,0,0,0,0,0,2,2,1
